"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1084",622666,"Johan Camargo","1084","100.0","0.252","0.175","0.284","0.427","0.338","0.336","0.251","59","234","84.6","16.7","2179","88.9","88.40","125","492","589","-0.5","5.94","113","150","108","150","296","317","295"
"923",571875,"Jake Lamb","923","100.0","0.230","0.133","0.293","0.362","0.299","0.335","0.245","45","196","83.9","11.6","2228","89.4","88.77","111","393","528","-0.6","5.94","115","155","126","150","299","323","308"
"1352",516782,"Starling Marte","1352","100.0","0.286","0.204","0.328","0.489","0.350","0.335","0.256","94","329","82.9","11.4","2213","88.3","87.78","167","697","643","-0.5","5.96","106","150","107","145","301","318","289"
"1084",596748,"Maikel Franco","1084","100.0","0.269","0.187","0.273","0.456","0.322","0.334","0.272","76","283","84.7","11.7","2248","88.1","87.54","118","560","524","-0.6","5.93","109","153","116","146","299","320","295"
"1486",592696,"Eddie Rosario","1486","100.0","0.310","0.223","0.344","0.533","0.372","0.334","0.258","118","381","84.1","22.8","2229","88.1","87.59","196","838","642","-0.5","5.95","113","151","111","150","293","319","298"
"807",649557,"Aledmys Diaz","807","100.0","0.252","0.167","0.260","0.419","0.301","0.334","0.271","59","234","84.2","17.6","2269","88.1","87.40","104","458","347","-0.7","5.92","107","151","112","146","296","317","289"
"1439",596146,"Max Kepler","1439","100.0","0.227","0.178","0.243","0.405","0.311","0.333","0.241","74","326","84.9","19.2","2218","88.6","88.09","114","626","812","-0.5","6.00","113","150","112","150","292","319","298"
"1379",595777,"Jurickson Profar","1379","100.0","0.245","0.187","0.261","0.432","0.328","0.332","0.259","76","310","82.6","17.6","2212","88.5","87.92","113","655","711","-0.6","5.97","109","147","107","148","291","317","293"
"1836",514917,"Cesar Hernandez","1836","100.0","0.273","0.113","0.340","0.386","0.340","0.331","0.246","99","363","80.6","15.7","2181","89.0","88.60","139","654","1168","-0.4","6.03","109","148","99","149","287","312","291"
"1421",500208,"Yangervis Solarte","1421","100.0","0.238","0.179","0.242","0.417","0.307","0.331","0.268","88","369","83.7","18.0","2221","88.2","87.57","136","755","663","-0.6","5.98","111","156","116","149","293","321","297"
"1504",605137,"Josh Bell","1504","100.0","0.258","0.134","0.307","0.392","0.321","0.331","0.257","85","329","84.5","13.1","2195","88.7","88.19","160","656","847","-0.5","5.95","113","153","117","148","297","318","300"
"1444",516416,"Jean Segura","1444","100.0","0.323","0.136","0.355","0.459","0.347","0.330","0.288","121","375","82.5","13.4","2259","88.5","87.87","92","699","728","-0.6","5.90","106","149","106","145","296","311","283"
"1494",645277,"Ozzie Albies","1494","100.0","0.283","0.236","0.299","0.520","0.354","0.330","0.263","115","406","82.0","19.4","2176","88.4","87.85","179","852","624","-0.6","5.93","111","149","103","148","293","318","296"
"1680",641355,"Cody Bellinger","1680","100.0","0.244","0.233","0.286","0.477","0.341","0.330","0.222","85","348","84.3","20.3","2220","88.4","87.85","228","733","945","-0.5","5.94","117","152","118","152","302","322","306"
"1555",660162,"Yoan Moncada","1555","100.0","0.237","0.188","0.345","0.425","0.319","0.330","0.227","82","346","85.1","18.5","2191","88.5","88.11","202","652","899","-0.4","6.03","113","147","106","148","288","315","295"
"774",519023,"Devin Mesoraco","774","100.0","0.232","0.171","0.250","0.403","0.312","0.330","0.240","42","181","82.7","19.8","2233","88.4","87.87","80","371","397","-0.5","6.00","107","151","114","145","300","321","296"
"1451",544369,"Didi Gregorius","1451","100.0","0.268","0.211","0.265","0.479","0.341","0.330","0.267","94","351","81.3","19.9","2214","88.9","88.32","157","758","689","-0.6","5.97","114","149","110","152","285","318","293"
"1611",516770,"Starlin Castro","1611","100.0","0.293","0.116","0.345","0.409","0.323","0.329","0.269","114","389","82.8","9.2","2251","88.5","87.76","173","758","853","-0.7","5.93","108","151","114","146","302","321","291"
"1315",572816,"Corey Dickerson","1315","100.0","0.306","0.170","0.333","0.476","0.345","0.329","0.285","101","330","82.0","22.1","2212","88.7","88.20","148","763","547","-0.5","5.95","117","149","113","149","293","315","298"
"812",592325,"Ben Gamel","812","100.0","0.286","0.103","0.359","0.389","0.327","0.328","0.279","53","185","83.3","11.8","2235","89.3","88.69","73","349","457","-0.6","5.93","114","148","106","149","279","310","297"
"1089",502210,"Josh Reddick","1089","100.0","0.262","0.155","0.284","0.417","0.325","0.326","0.263","66","252","81.9","20.4","2189","88.0","87.35","78","477","611","-0.6","5.96","114","149","109","151","286","319","295"
"1565",543333,"Eric Hosmer","1565","100.0","0.245","0.147","0.301","0.392","0.302","0.326","0.263","92","375","85.2","4.4","2215","88.5","87.91","209","758","805","-0.6","5.94","114","152","118","152","296","322","308"
"1391",606466,"Ketel Marte","1391","100.0","0.243","0.185","0.259","0.429","0.314","0.326","0.263","80","329","84.7","10.0","2232","88.4","87.76","91","641","745","-0.6","5.94","109","147","102","148","292","318","300"
"966",594953,"Daniel Palka","966","100.0","0.234","0.234","0.310","0.468","0.314","0.326","0.241","52","222","86.4","18.1","2252","88.4","88.01","171","472","494","-0.4","5.99","117","159","124","150","292","320","300"
"1276",594828,"Evan Gattis","1276","100.0","0.236","0.247","0.245","0.483","0.328","0.326","0.232","69","292","83.3","23.1","2248","88.0","87.40","137","592","681","-0.6","6.02","106","151","117","146","296","321","291"
"957",467055,"Pablo Sandoval","957","100.0","0.256","0.169","0.291","0.425","0.322","0.326","0.250","53","207","82.9","18.3","2204","89.1","88.67","101","451","504","-0.4","5.94","113","152","115","150","294","323","303"
"911",543543,"Brad Miller","911","100.0","0.248","0.165","0.351","0.413","0.311","0.325","0.233","54","218","84.5","18.5","2159","88.3","87.74","149","445","465","-0.6","5.98","114","150","111","149","289","319","300"
"1241",622110,"Matt Duffy","1241","100.0","0.317","0.096","0.375","0.413","0.343","0.325","0.287","99","312","82.8","10.3","2239","88.5","87.82","102","605","627","-0.7","5.97","106","150","112","147","297","316","282"
"1451",430945,"Adam Jones","1451","100.0","0.275","0.147","0.305","0.421","0.309","0.324","0.275","105","382","84.3","16.9","2231","88.1","87.58","186","799","644","-0.5","5.99","107","152","114","146","299","320","289"
"1298",474568,"Jordy Mercer","1298","100.0","0.252","0.136","0.310","0.389","0.297","0.324","0.270","76","301","84.7","16.3","2232","88.5","87.95","131","560","730","-0.6","5.95","107","149","111","145","300","313","287"
"1060",467827,"Gerardo Parra","1060","100.0","0.297","0.109","0.342","0.406","0.325","0.323","0.276","82","276","81.9","12.5","2191","87.8","87.53","109","542","508","-0.3","5.97","113","149","103","149","294","322","306"
"869",435522,"Neil Walker","869","100.0","0.198","0.091","0.250","0.289","0.255","0.323","0.243","39","197","82.4","17.9","2235","88.6","88.01","97","407","460","-0.6","5.98","113","157","116","152","288","317","291"
"1075",543228,"Yan Gomes","1075","100.0","0.245","0.189","0.321","0.434","0.315","0.323","0.236","61","249","84.6","19.3","2261","88.6","88.23","168","561","509","-0.4","6.01","107","151","116","145","296","316","288"
"1110",491676,"Gorkys Hernandez","1110","100.0","0.277","0.174","0.343","0.451","0.331","0.323","0.258","73","264","81.7","16.5","2203","88.5","88.11","171","550","545","-0.4","5.96","104","148","102","146","302","320","287"
"1381",575929,"Willson Contreras","1381","100.0","0.279","0.178","0.344","0.456","0.357","0.322","0.232","83","298","81.8","13.2","2252","88.4","87.88","176","678","690","-0.5","5.92","109","150","111","146","300","319","296"
"1434",435622,"Ian Desmond","1434","100.0","0.234","0.220","0.271","0.454","0.326","0.321","0.232","79","337","85.2","6.0","2242","88.5","88.37","211","690","736","-0.1","6.01","109","150","112","147","312","327","299"
"861",444489,"Manny Pina","861","100.0","0.232","0.146","0.261","0.379","0.295","0.321","0.252","46","198","82.2","16.0","2243","88.8","88.31","73","381","474","-0.5","6.00","110","150","113","146","300","316","292"
"1063",431145,"Russell Martin","1063","100.0","0.184","0.118","0.222","0.302","0.293","0.320","0.208","39","212","84.9","11.4","2273","88.8","88.24","94","357","702","-0.6","6.01","108","152","117","147","300","320","290"
"1586",572122,"Kyle Seager","1586","100.0","0.234","0.191","0.264","0.426","0.303","0.318","0.250","88","376","84.0","20.7","2247","88.2","87.52","155","731","849","-0.7","5.87","117","163","119","153","288","316","300"
"1346",646240,"Rafael Devers","1346","100.0","0.241","0.182","0.288","0.424","0.302","0.316","0.242","82","340","84.8","18.9","2178","88.2","87.55","196","719","624","-0.7","5.92","114","149","115","149","285","322","306"
"852",571788,"Brock Holt","852","100.0","0.287","0.096","0.349","0.383","0.327","0.315","0.268","54","188","83.4","11.5","2198","88.8","88.12","44","335","512","-0.7","5.90","111","147","104","148","268","307","302"
"1059",594777,"Kole Calhoun","1059","100.0","0.187","0.132","0.206","0.319","0.242","0.315","0.244","48","257","84.0","15.6","2197","88.5","87.87","137","523","535","-0.6","5.91","115","158","116","150","290","319","305"
"956",572287,"Mike Zunino","956","100.0","0.189","0.214","0.248","0.403","0.281","0.313","0.210","38","201","83.0","21.2","2271","88.7","88.02","185","482","468","-0.7","5.91","107","151","118","145","295","319","294"
"1043",457727,"Cameron Maybin","1043","100.0","0.243","0.083","0.300","0.326","0.292","0.313","0.251","56","230","81.7","13.6","2221","88.4","87.75","92","430","610","-0.7","5.98","106","149","108","145","303","318","288"
"1598",445055,"Jon Jay","1598","100.0","0.276","0.079","0.330","0.355","0.312","0.313","0.260","102","369","80.3","6.6","2217","88.7","88.33","151","758","822","-0.4","6.00","114","148","101","148","281","310","301"
"768",581527,"Devon Travis","768","100.0","0.244","0.155","0.279","0.399","0.301","0.312","0.266","47","193","84.3","10.0","2302","89.1","88.55","75","349","415","-0.6","5.99","107","151","110","146","297","314","285"
"1001",543308,"John Hicks","1001","100.0","0.274","0.161","0.358","0.435","0.327","0.312","0.240","68","248","81.8","15.0","2231","88.0","87.43","201","575","425","-0.6","5.96","108","152","114","146","299","322","289"
"1342",607680,"Kevin Pillar","1342","100.0","0.247","0.160","0.280","0.407","0.292","0.311","0.273","85","344","82.7","18.3","2261","88.5","87.83","157","713","625","-0.7","5.95","106","151","111","146","297","317","288"
"1140",455139,"Robinson Chirinos","1140","100.0","0.213","0.217","0.316","0.430","0.329","0.311","0.185","49","230","82.5","25.9","2266","89.6","89.03","195","521","603","-0.6","6.00","106","150","113","146","295","319","291"
"1405",435079,"Ian Kinsler","1405","100.0","0.220","0.147","0.215","0.367","0.283","0.311","0.250","72","327","82.3","21.6","2228","88.5","87.90","75","631","770","-0.6","5.93","108","152","112","145","301","320","291"
"1038",471865,"Carlos Gonzalez","1038","100.0","0.282","0.195","0.332","0.477","0.342","0.311","0.254","74","262","83.0","15.6","2221","88.9","88.69","156","539","497","-0.2","6.00","114","158","122","148","302","327","308"
