"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2676",518934,"DJ LeMahieu",2017,"2676","100.0","0.310","0.099","0.351","0.409","0.342","0.345","0.302","189","609","83.7","9.4","2224","89.8","89.52","141","1106","1555","-0.3","6.00","109","149","109","148","311","322","294"
"1648",461235,"Brandon Moss",2017,"1648","100.0","0.207","0.221","0.248","0.428","0.301","0.345","0.236","75","362","82.7","22.5","2195","87.9","87.70","283","795","852","-0.2","6.07","113","159","127","150","298","325","303"
"2342",519346,"Eric Thames",2017,"2342","100.0","0.248","0.271","0.309","0.519","0.370","0.345","0.228","116","468","82.3","17.5","2171","88.8","88.28","320","1013","1322","-0.5","5.97","117","154","125","150","298","317","300"
"2421",466320,"Melky Cabrera",2017,"2421","100.0","0.285","0.137","0.299","0.423","0.319","0.344","0.303","177","620","83.4","14.7","2196","88.9","88.61","150","1116","1300","-0.3","6.08","111","148","109","147","291","318","295"
"2076",501896,"David Freese",2017,"2076","100.0","0.263","0.108","0.336","0.371","0.326","0.344","0.257","112","426","82.8","10.0","2193","89.1","88.75","209","900","1161","-0.3","6.06","110","150","114","147","304","318","291"
"2037",502210,"Josh Reddick",2017,"2037","100.0","0.314","0.170","0.339","0.484","0.357","0.342","0.287","150","477","83.2","21.5","2203","88.2","87.76","140","896","1137","-0.4","6.03","114","150","111","149","288","320","296"
"2280",641820,"Trey Mancini",2017,"2280","100.0","0.293","0.195","0.352","0.488","0.349","0.342","0.264","159","543","82.5","11.3","2237","87.9","87.17","330","1160","1114","-0.7","5.90","108","151","116","146","303","324","292"
"2382",434158,"Curtis Granderson",2017,"2382","100.0","0.212","0.241","0.228","0.452","0.330","0.342","0.224","95","449","83.2","20.7","2187","88.5","87.97","176","911","1463","-0.5","6.01","114","155","119","149","294","319","300"
"2062",452678,"Asdrubal Cabrera",2017,"2062","100.0","0.280","0.154","0.310","0.434","0.338","0.342","0.270","134","479","81.0","16.1","2172","88.2","87.83","183","965","1088","-0.4","6.10","112","150","110","150","291","316","297"
"2490",519306,"Steven Souza Jr.",2017,"2490","100.0","0.239","0.220","0.302","0.459","0.348","0.341","0.227","125","523","81.5","16.4","2255","88.8","88.17","350","1091","1384","-0.6","6.02","108","152","113","146","300","326","295"
